,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,PCR_batch,cell_cycle_conservation,isolated_label_F1,isolated_label_silhouette,graph_conn,kBET,iLISI,cLISI,hvg_overlap,trajectory
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/bbknn_knn,0.7382826939350040,0.7581498986194790,,,,,0.7657713928794500,,0.995988959591186,0.17187520112780700,0.3734673517489210,0.9168628629997900,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/combat_full,0.7044791623065670,0.6167288058733170,0.5948005616664890,0.935324378285749,0.9966384556693150,,0.8860025220680960,0.5066098561510440,0.9929108108828810,0.09284563868863930,0.3259478431514900,0.9990544375746800,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/conos_knn,0.16214668999056000,0.050341608077153900,,,,,0.4877330716388620,,0.5576989371863360,0.0009109256306892850,0.0,0.850034173615213,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/desc_embed,0.5499257320723220,0.2075231646105480,0.6427844315767290,0.7768767493695530,0.6078016439374120,,0.9124050632911390,0.4694527927786110,0.5159668222963550,0.04482111085265890,0.32444833356821100,0.9980354226939440,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/fastmnn_embed,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/fastmnn_full,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/harmony_embed,0.6879256435086680,0.6088445661819280,0.5970869824512450,0.8500345855695090,0.6780687446260260,,0.6358685080723590,0.4688782747834920,0.9946085831022080,0.8884908999866640,0.3727670322323650,0.9992918953180190,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/liger_embed,0.7505368121038400,0.7190457991446890,0.5851032871675700,0.932748731391458,0.8323150664195390,,0.7241232429362490,0.5168102048337460,0.9783478147603070,0.04726789374867620,0.4125609164544770,0.9988074059078410,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/mnn_full,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/saucie_embed,0.3504745256035630,0.13628853823982600,0.3425339311361310,0.47441120614682000,0.0,,0.3666618011969060,0.2600235939025880,0.7970265650991670,0.1990433018602930,0.366051738359197,0.9671900258304310,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/saucie_full,0.3421375523547820,0.13295913629084500,0.3400140851736070,0.4474837266664920,0.0,,0.308903098868667,0.2600235939025880,0.7950333053230270,0.18082633263579500,0.36732055521666700,0.9664339181617610,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/scanorama_embed,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/scanorama_full,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/scanvi_embed,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/scgen_full,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/scvi_embed,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/seurat_full,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/seuratrpca_full,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/trvae_embed,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/trvae_full,,,,,,,,,,,,,,
/mouse_brain_atac_peaks_large_11batches/metrics/unscaled/full_feature/unintegrated_full,0.762751558916336,0.6967071166668900,0.6043264716863630,0.8348929179345960,0.0,,0.9404424276800910,0.516814848408103,0.9982047366605260,0.055149932440619100,0.2984242697960750,0.999574602007249,,
