,metrics,AUC,AUC_scaled
0,scaled/full_feature/bbknn,45.44062662020252,0.38781187856374866
1,scaled/full_feature/combat,48.7994345164489,0.34256113161753166
2,scaled/full_feature/conos,51.89711977190763,0.30082829784325116
3,scaled/full_feature/desc,46.12590802280103,0.37857958654413415
4,scaled/full_feature/fastmnn,49.2885928497176,0.3359710613785901
5,scaled/full_feature/harmony,48.44483918468248,0.34733833356587884
6,scaled/full_feature/mnn,52.84908458477959,0.28800317649674234
7,scaled/full_feature/saucie,45.964273952663326,0.38075716342010324
8,scaled/full_feature/scanorama,51.32059224795071,0.30859542889092395
9,scaled/full_feature/scgen,45.341514351030945,0.3891471452268288
10,scaled/full_feature/seurat,61.669020665600385,0.16917866851548702
11,scaled/full_feature/seuratrpca,55.750144872210235,0.24891932621493562
12,unscaled/full_feature/bbknn,46.776347267158904,0.3698166972811848
13,unscaled/full_feature/combat,51.19496280651723,0.31028794190116615
14,unscaled/full_feature/conos,49.39747922921703,0.3345041153201016
15,unscaled/full_feature/desc,46.36128193654799,0.3754085670224142
16,unscaled/full_feature/fastmnn,46.71233659514832,0.3706790659579541
17,unscaled/full_feature/harmony,50.72988254478067,0.3165536260020759
18,unscaled/full_feature/liger,52.18356833502615,0.29696918715779963
19,unscaled/full_feature/mnn,54.07880842452434,0.27143601219174984
20,unscaled/full_feature/saucie,47.31308658250173,0.36258560348692315
21,unscaled/full_feature/scanorama,49.33096494134048,0.3354002133709527
22,unscaled/full_feature/scanvi,43.96450625851429,0.4076985618788497
23,unscaled/full_feature/scgen,48.44425696722835,0.3473461773531683
24,unscaled/full_feature/scvi,42.0922409357944,0.4329222147198637
25,unscaled/full_feature/seurat,52.716754823210536,0.2897859579892196
26,unscaled/full_feature/seuratrpca,53.212338527662034,0.28310932345294104
27,unscaled/full_feature/trvae,57.485648963157146,0.22553815680321454
28,scaled/hvg/bbknn,38.35612317722812,0.4832561797683218
29,scaled/hvg/combat,41.740997610262916,0.43765425755504195
30,scaled/hvg/conos,54.84016432595009,0.2611788244347699
31,scaled/hvg/desc,39.89609004579518,0.462509339452458
32,scaled/hvg/fastmnn,44.1679590250448,0.4049575924819192
33,scaled/hvg/harmony,43.90652377932052,0.40847971715011233
34,scaled/hvg/mnn,44.03315419214554,0.40677371878895474
35,scaled/hvg/saucie,38.21959977377707,0.48509545911165786
36,scaled/hvg/scanorama,44.189618870671396,0.40466578532187336
37,scaled/hvg/scgen,43.67165798327276,0.41164389117600897
38,scaled/hvg/seurat,55.685928737188405,0.24978446294364953
39,scaled/hvg/seuratrpca,51.64431338984039,0.3042341721816132
40,unscaled/hvg/bbknn,37.73849943833832,0.4915769698759406
41,unscaled/hvg/combat,41.61453445989922,0.4393580025121514
42,unscaled/hvg/conos,49.76732460947406,0.3295214606913742
43,unscaled/hvg/desc,38.630100165486844,0.4795650894327783
44,unscaled/hvg/fastmnn,41.953147938207955,0.4347961123139503
45,unscaled/hvg/harmony,41.429259791784034,0.44185407176689917
46,unscaled/hvg/liger,45.91713646464728,0.3813922121063583
47,unscaled/hvg/mnn,44.047970210600724,0.40657411347582695
48,unscaled/hvg/saucie,39.20739732559113,0.4717875896436887
49,unscaled/hvg/scanorama,41.31275653364614,0.44342363442581134
50,unscaled/hvg/scanvi,37.81226281205467,0.4905832102263733
51,unscaled/hvg/scgen,44.28608922697725,0.40336611120657595
52,unscaled/hvg/scvi,35.610435141291866,0.5202468140484948
53,unscaled/hvg/seurat,48.77525368504194,0.34288690216373297
54,unscaled/hvg/seuratrpca,48.19435923878386,0.35071286554183
55,unscaled/hvg/trvae,63.41673409442709,0.145633011679702
56,scaled/full_feature/bbknn,45.44193997241171,0.3877941847359666
57,scaled/full_feature/combat,48.800104824853506,0.3425521010456949
58,scaled/full_feature/conos,52.07042676600329,0.2984934602532252
59,scaled/full_feature/desc,46.12703249830566,0.378564437313193
60,scaled/full_feature/fastmnn,49.288755424036,0.3359688711344412
61,scaled/full_feature/harmony,48.44613318191545,0.34732090049344744
62,scaled/full_feature/mnn,52.84912693988484,0.28800260587757964
63,scaled/full_feature/saucie,45.96551283451794,0.3807404728766035
64,scaled/full_feature/scanorama,51.32090074689974,0.3085912727116167
65,scaled/full_feature/scgen,45.341862684595014,0.3891424523850685
66,scaled/full_feature/seurat,61.66866490140856,0.1691834614646267
67,scaled/full_feature/seuratrpca,55.75015096046322,0.24891924419238365
68,unscaled/full_feature/bbknn,46.77846707239479,0.36978813870526517
69,unscaled/full_feature/combat,51.19567235377072,0.3102783826931954
70,unscaled/full_feature/conos,50.01520545553502,0.3261819444747862
71,unscaled/full_feature/desc,46.36337420517342,0.3753803794269822
72,unscaled/full_feature/fastmnn,46.71259504134124,0.3706755841025946
73,unscaled/full_feature/harmony,50.730456725252786,0.31654589049113047
74,unscaled/full_feature/liger,52.18357234975567,0.29696913307030326
75,unscaled/full_feature/mnn,54.079364067256456,0.2714285264261329
76,unscaled/full_feature/saucie,47.3152637159987,0.3625562725695316
77,unscaled/full_feature/scanorama,49.331587005022975,0.3353918327647524
78,unscaled/full_feature/scanvi,43.96813732963109,0.40764964312989904
79,unscaled/full_feature/scgen,48.44459494295292,0.34734162405495694
80,unscaled/full_feature/scvi,42.09566169146991,0.43287612939607667
81,unscaled/full_feature/seurat,52.71654321283579,0.28978880886006864
82,unscaled/full_feature/seuratrpca,53.21237921387523,0.28310877531753276
83,unscaled/full_feature/trvae,57.48067941428789,0.2256051078779011
84,scaled/hvg/bbknn,38.36152341366882,0.48318342635694
85,scaled/hvg/combat,41.74422175057762,0.43761082108531624
86,scaled/hvg/conos,55.11422350161929,0.25748662684872914
87,scaled/hvg/desc,39.89942424088612,0.4624644202957243
88,scaled/hvg/fastmnn,44.16843057991451,0.40495123957018997
89,scaled/hvg/harmony,43.91242501525319,0.4084002141412747
90,scaled/hvg/mnn,44.03402342754781,0.40676200822007436
91,scaled/hvg/saucie,38.224470977126295,0.4850298329737873
92,scaled/hvg/scanorama,44.191080945902655,0.4046460878582643
93,scaled/hvg/scgen,43.67260972280635,0.4116310690896844
94,scaled/hvg/seurat,55.685025266911495,0.24979663473380143
95,scaled/hvg/seuratrpca,51.644331234186595,0.30423393177786906
96,unscaled/hvg/bbknn,37.744218908960065,0.49149991565737094
97,unscaled/hvg/combat,41.617793346508904,0.43931409793116416
98,unscaled/hvg/conos,50.15776667387519,0.3242613220948446
99,unscaled/hvg/desc,38.634013748337466,0.4795123646111461
100,unscaled/hvg/fastmnn,41.953779197696285,0.4347876078194254
101,unscaled/hvg/harmony,41.440378049311725,0.44170428366546277
102,unscaled/hvg/liger,45.91807071343298,0.38137962566000805
103,unscaled/hvg/mnn,44.0488819560672,0.40656183020013603
104,unscaled/hvg/saucie,39.21130542100698,0.47173493875022665
105,unscaled/hvg/scanorama,41.314902652759,0.44339472134239233
106,unscaled/hvg/scanvi,37.817153650956044,0.490517319553159
107,unscaled/hvg/scgen,44.28691564607399,0.4033549774702704
108,unscaled/hvg/scvi,35.61640431627752,0.5201663957467946
109,unscaled/hvg/seurat,48.77530436013566,0.3428862194554885
110,unscaled/hvg/seuratrpca,48.19445964548014,0.3507115128363031
111,unscaled/hvg/trvae,63.41479630105106,0.1456591181437813
