gene_name	gene_id	phase
Mcm5	ENSMUSG00000005410	S
Pcna	ENSMUSG00000027342	S
Tyms	ENSMUSG00000025747	S
Fen1	ENSMUSG00000024742	S
Mcm2	ENSMUSG00000002870	S
Mcm4	ENSMUSG00000022673	S
Rrm1	ENSMUSG00000030978	S
Ung	ENSMUSG00000029591	S
Gins2	ENSMUSG00000031821	S
Mcm6	ENSMUSG00000026355	S
Cdca7	ENSMUSG00000055612	S
Dtl	ENSMUSG00000037474	S
Prim1	ENSMUSG00000025395	S
Uhrf1	ENSMUSG00000001228	S
Mlf1ip	ENSMUSG00000031629	S
Hells	ENSMUSG00000025001	S
Rfc2	ENSMUSG00000023104	S
Rpa2	ENSMUSG00000028884	S
Nasp	ENSMUSG00000028693	S
Rad51ap1	ENSMUSG00000030346	S
Gmnn	ENSMUSG00000006715	S
Wdr76	ENSMUSG00000027242	S
Slbp	ENSMUSG00000004642	S
Ccne2	ENSMUSG00000028212	S
Ubr7	ENSMUSG00000041712	S
Pold3	ENSMUSG00000030726	S
Msh2	ENSMUSG00000024151	S
Atad2	ENSMUSG00000022360	S
Rad51	ENSMUSG00000027323	S
Rrm2	ENSMUSG00000020649	S
Cdc45	ENSMUSG00000000028	S
Cdc6	ENSMUSG00000017499	S
Exo1	ENSMUSG00000039748	S
Tipin	ENSMUSG00000032397	S
Dscc1	ENSMUSG00000022422	S
Blm	ENSMUSG00000030528	S
Casp8ap2	ENSMUSG00000028282	S
Usp1	ENSMUSG00000028560	S
Clspn	ENSMUSG00000042489	S
Pola1	ENSMUSG00000006678	S
Chaf1b	ENSMUSG00000022945	S
Brip1	ENSMUSG00000034329	S
E2f8	ENSMUSG00000046179	S
Hmgb2	ENSMUSG00000054717	G2/M
Cdk1	ENSMUSG00000019942	G2/M
Nusap1	ENSMUSG00000027306	G2/M
Ube2c	ENSMUSG00000001403	G2/M
Birc5	ENSMUSG00000017716	G2/M
Tpx2	ENSMUSG00000027469	G2/M
Top2a	ENSMUSG00000020914	G2/M
Ndc80	ENSMUSG00000024056	G2/M
Cks2	ENSMUSG00000062248	G2/M
Nuf2	ENSMUSG00000026683	G2/M
Cks1b	ENSMUSG00000028044	G2/M
Mki67	ENSMUSG00000031004	G2/M
Tmpo	ENSMUSG00000019961	G2/M
Cenpf	ENSMUSG00000026605	G2/M
Tacc3	ENSMUSG00000037313	G2/M
Fam64a	ENSMUSG00000020808	G2/M
Smc4	ENSMUSG00000034349	G2/M
Ccnb2	ENSMUSG00000032218	G2/M
Ckap2l	ENSMUSG00000048327	G2/M
Ckap2	ENSMUSG00000037725	G2/M
Aurkb	ENSMUSG00000020897	G2/M
Bub1	ENSMUSG00000027379	G2/M
Kif11	ENSMUSG00000012443	G2/M
Anp32e	ENSMUSG00000015749	G2/M
Tubb4b	ENSMUSG00000036752	G2/M
Gtse1	ENSMUSG00000022385	G2/M
Kif20b	ENSMUSG00000024795	G2/M
Hjurp	ENSMUSG00000044783	G2/M
Cdca3	ENSMUSG00000023505	G2/M
Hn1	ENSMUSG00000020737	G2/M
Cdc20	ENSMUSG00000006398	G2/M
Ttk	ENSMUSG00000038379	G2/M
Cdc25c	ENSMUSG00000044201	G2/M
Kif2c	ENSMUSG00000028678	G2/M
Rangap1	ENSMUSG00000022391	G2/M
Ncapd2	ENSMUSG00000038252	G2/M
Dlgap5	ENSMUSG00000037544	G2/M
Cdca2	ENSMUSG00000048922	G2/M
Cdca8	ENSMUSG00000028873	G2/M
Ect2	ENSMUSG00000027699	G2/M
Kif23	ENSMUSG00000032254	G2/M
Hmmr	ENSMUSG00000020330	G2/M
Aurka	ENSMUSG00000027496	G2/M
Psrc1	ENSMUSG00000068744	G2/M
Anln	ENSMUSG00000036777	G2/M
Lbr	ENSMUSG00000004880	G2/M
Ckap5	ENSMUSG00000040549	G2/M
Cenpe	ENSMUSG00000045328	G2/M
Ctcf	ENSMUSG00000005698	G2/M
Nek2	ENSMUSG00000026622	G2/M
G2e3	ENSMUSG00000035293	G2/M
Gas2l3	ENSMUSG00000074802	G2/M
Cbx5	ENSMUSG00000009575	G2/M
Cenpa	ENSMUSG00000029177	G2/M
